"AgeGroup","Sex","Employment","Year","BMIgroup"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"55-64","Female","Retired","2016","Normal"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"65-74","Female","Retired","2016","Overweight"
"75+","Female","Retired","2016","Overweight"
"55-64","Female","Retired","2016","Normal"
"55-64","Male","Retired","2016","Overweight"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"65-74","Female","Retired","2016","Normal"
"65-74","Female","Retired","2016","Obese"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"55-64","Female","Looking after home/family","2016","Normal"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"65-74","Male","Retired","2016","Obese"
"65-74","Female","Retired","2016","Obese"
"65-74","Male","Retired","2016","Underweight"
"65-74","Female","Retired","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"65-74","Female","Retired","2016","Overweight"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"75+","Female","Retired","2016","Obese"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Female","Looking for/intending to look for paid work","2016","Normal"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Male","Looking for/intending to look for paid work","2016","Obese"
"65-74","Male","Retired","2016","Overweight"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"16-24","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Male","Perm unable to work","2016","Overweight"
"55-64","Female","Perm unable to work","2016","Obese"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"75+","Male","Retired","2016","Obese"
"65-74","Male","Retired","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"16-24","Female","In full-time education","2016","Normal"
"75+","Male","Retired","2016","Overweight"
"25-34","Female","In full-time education","2016","Obese"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"16-24","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"75+","Male","Retired","2016","Overweight"
"65-74","Female","Retired","2016","Overweight"
"65-74","Male","Retired","2016","Normal"
"55-64","Female","Looking for/intending to look for paid work","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Male","Looking for/intending to look for paid work","2016","Obese"
"55-64","Female","Perm unable to work","2016","Obese"
"65-74","Female","Retired","2016","Obese"
"65-74","Male","Retired","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Female","Perm unable to work","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"65-74","Female","Retired","2016","Overweight"
"75+","Female","Retired","2016","Overweight"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"16-24","Male","In full-time education","2016","Normal"
"45-54","Male","Perm unable to work","2016","Overweight"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","Perm unable to work","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","Perm unable to work","2016","Overweight"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Male","Perm unable to work","2016","Normal"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"35-44","Male","Looking for/intending to look for paid work","2016","Underweight"
"65-74","Male","Retired","2016","Obese"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Female","Retired","2016","Normal"
"55-64","Male","Retired","2016","Normal"
"25-34","Female","In full-time education","2016","Normal"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"75+","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"75+","Male","Retired","2016","Normal"
"65-74","Female","Retired","2016","Overweight"
"75+","Female","Retired","2016","Overweight"
"65-74","Male","Retired","2016","Overweight"
"65-74","Female","Retired","2016","Overweight"
"75+","Male","Retired","2016","Obese"
"55-64","Male","Looking for/intending to look for paid work","2016","Normal"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"65-74","Male","Retired","2016","Normal"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"16-24","Female","In full-time education","2016","Normal"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","Perm unable to work","2016","Underweight"
"75+","Female","Retired","2016","Obese"
"75+","Male","Retired","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"65-74","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"65-74","Female","Doing something else","2016","Obese"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Female","Looking after home/family","2016","Normal"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Female","Looking after home/family","2016","Obese"
"55-64","Male","Retired","2016","Overweight"
"55-64","Female","Retired","2016","Overweight"
"55-64","Female","Retired","2016","Obese"
"65-74","Female","Retired","2016","Normal"
"65-74","Male","Retired","2016","Obese"
"45-54","Male","Perm unable to work","2016","Obese"
"65-74","Female","Retired","2016","Normal"
"65-74","Male","Retired","2016","Normal"
"45-54","Male","Perm unable to work","2016","Normal"
"65-74","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"75+","Female","Retired","2016","Normal"
"75+","Male","Retired","2016","Overweight"
"75+","Female","Retired","2016","Overweight"
"65-74","Male","Retired","2016","Obese"
"65-74","Female","Retired","2016","Overweight"
"65-74","Male","Retired","2016","Overweight"
"65-74","Female","Retired","2016","Normal"
"75+","Male","Retired","2016","Overweight"
"55-64","Male","Retired","2016","Normal"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Female","Retired","2016","Normal"
"65-74","Male","Retired","2016","Normal"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Underweight"
"65-74","Female","Retired","2016","Overweight"
"65-74","Female","Retired","2016","Obese"
"55-64","Female","Retired","2016","Obese"
"65-74","Male","Retired","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Male","Perm unable to work","2016","Obese"
"45-54","Female","Perm unable to work","2016","Obese"
"75+","Male","Retired","2016","Normal"
"75+","Female","Retired","2016","Overweight"
"35-44","Female","Looking after home/family","2016","Overweight"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"75+","Female","Retired","2016","Obese"
"65-74","Female","Retired","2016","Obese"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"65-74","Male","Retired","2016","Overweight"
"55-64","Female","Retired","2016","Obese"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"65-74","Female","Retired","2016","Obese"
"65-74","Male","Retired","2016","Overweight"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"16-24","Male","In full-time education","2016","Underweight"
"65-74","Male","Retired","2016","Normal"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"75+","Female","Retired","2016","Obese"
"75+","Male","Retired","2016","Obese"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"65-74","Female","Retired","2016","Obese"
"65-74","Male","Retired","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","Perm unable to work","2016","Obese"
"65-74","Male","Retired","2016","Obese"
"65-74","Female","Retired","2016","Normal"
"55-64","Female","Retired","2016","Overweight"
"55-64","Male","Retired","2016","Normal"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"16-24","Male","In full-time education","2016","Overweight"
"35-44","Male","Looking for/intending to look for paid work","2016","Normal"
"65-74","Male","Retired","2016","Overweight"
"65-74","Female","Retired","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Female","Retired","2016","Overweight"
"65-74","Male","Retired","2016","Overweight"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"65-74","Female","Retired","2016","Overweight"
"55-64","Male","Doing something else","2016","Overweight"
"75+","Male","Retired","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"16-24","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"16-24","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"16-24","Female","In full-time education","2016","Obese"
"16-24","Male","Doing something else","2016","Normal"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"75+","Female","Retired","2016","Normal"
"75+","Male","Retired","2016","Overweight"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Female","Perm unable to work","2016","Obese"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"75+","Female","Retired","2016","Obese"
"75+","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"65-74","Male","Retired","2016","Overweight"
"35-44","Male","Looking for/intending to look for paid work","2016","Obese"
"35-44","Female","In full-time education","2016","Obese"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"16-24","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Male","Looking for/intending to look for paid work","2016","Overweight"
"16-24","Male","In full-time education","2016","Overweight"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Female","Retired","2016","Underweight"
"35-44","Female","Looking after home/family","2016","Obese"
"65-74","Female","Retired","2016","Overweight"
"65-74","Male","Retired","2016","Obese"
"16-24","Female","Looking for/intending to look for paid work","2016","Obese"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"65-74","Male","Retired","2016","Obese"
"65-74","Female","Retired","2016","Overweight"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"65-74","Female","Retired","2016","Normal"
"55-64","Male","Perm unable to work","2016","Obese"
"55-64","Female","Perm unable to work","2016","Obese"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"55-64","Female","Retired","2016","Normal"
"65-74","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"65-74","Female","Retired","2016","Normal"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"16-24","Male","In full-time education","2016","Overweight"
"55-64","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","Doing something else","2016","Overweight"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"55-64","Male","Retired","2016","Obese"
"65-74","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"65-74","Female","Retired","2016","Obese"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In full-time education","2016","Normal"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"55-64","Male","Perm unable to work","2016","Obese"
"16-24","Male","In full-time education","2016","Normal"
"16-24","Male","In full-time education","2016","Normal"
"75+","Female","Retired","2016","Underweight"
"65-74","Female","Retired","2016","Overweight"
"25-34","Male","In full-time education","2016","Normal"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"55-64","Male","Retired","2016","Normal"
"35-44","Female","In full-time education","2016","Normal"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Female","Looking for/intending to look for paid work","2016","Obese"
"75+","Female","Retired","2016","Overweight"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"65-74","Female","Retired","2016","Normal"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"25-34","Male","In paid employment, self-employed or on gov't training","2016","Normal"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"45-54","Male","In paid employment, self-employed or on gov't training","2016","Overweight"
"45-54","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"16-24","Male","In full-time education","2016","Normal"
"35-44","Male","In full-time education","2016","Overweight"
"25-34","Female","In paid employment, self-employed or on gov't training","2016","Obese"
"55-64","Female","In paid employment, self-employed or on gov't training","2016","Overweight"
"35-44","Female","In paid employment, self-employed or on gov't training","2016","Normal"
"35-44","Male","In paid employment, self-employed or on gov't training","2016","Obese"
"65-74","Female","Retired","2016","Obese"
